34 Sit Up, abdominals, beginner,8.7, body-only 
Incline Barbell Triceps Extension, triceps, intermediate,8.9, barbell 
Incline Push Up Close Grip, triceps, beginner,0, body-only 
JM Press, triceps, beginner,9.0, barbell 
JM Press, triceps, beginner,9.0, barbell 
JM Press With Bands, triceps, intermediate,0, barbell 
Kneeling Cable Triceps Extension, triceps, intermediate,9.0, cable 
Low Cable Triceps Extension, triceps, beginner,8.2, cable 
Lying Close Grip Barbell Triceps Extension Behind The Head, triceps, intermediate,8.7, barbell 
Lying Close Grip Barbell Triceps Press To Chin, triceps, intermediate,8.5, e-z-curl-bar 
Lying Dumbbell Tricep Extension, triceps, intermediate,8.4, dumbbell 
Lying Triceps Press, triceps, intermediate,8.1, e-z-curl-bar 
Machine Triceps Extension, triceps, beginner,7.4, machine 
One Arm Floor Press, triceps, intermediate,7.3, barbell 
One Arm Pronated Dumbbell Triceps Extension, triceps, beginner,8.3, dumbbell 
One Arm Supinated Dumbbell Triceps Extension, triceps, beginner,8.4, dumbbell 
Overhead Triceps, triceps, expert,3.3, body-only 
Parallel Bar Dip, triceps, beginner,9.5, other 
Pin Presses, triceps, intermediate,7.0, barbell 
Push Ups Close Triceps Position, triceps, intermediate,9.0, body-only 
Reverse Band Bench Press, triceps, intermediate,0, barbell 
Reverse Grip Triceps Pushdown, triceps, beginner,9.0, cable 
Reverse Triceps Bench Press, triceps, intermediate,8.3, barbell 
Ring Dips, triceps, intermediate,9.0, other 
Seated Bent Over One Arm Dumbbell Triceps Extension, triceps, beginner,7.5, dumbbell 
Seated Bent Over Two Arm Dumbbell Triceps Extension, triceps, intermediate,8.8, dumbbell 
Seated Triceps Press, triceps, beginner,9.0, dumbbell 
Sled Overhead Triceps Extension, triceps, beginner,0, other 
Smith Machine Close Grip Bench Press, triceps, beginner,8.8, machine 
Speed Band Overhead Triceps, triceps, beginner,0, bands 
Speed Band Pushdown, triceps, beginner,0, - 
Standing Bent Over One Arm Dumbbell Triceps Extension, triceps, beginner,8.5, dumbbell 
Standing Bent Over Two Arm Dumbbell Triceps Extension, triceps, beginner,9.2, dumbbell 
Standing Dumbbell Triceps Extension, triceps, beginner,9.1, dumbbell 
Standing Low Pulley One Arm Triceps Extension, triceps, intermediate,9.0, cable 
Standing One Arm Dumbbell Triceps Extension, triceps, beginner,8.7, dumbbell 
Standing Overhead Barbell Triceps Extension, triceps, beginner,9.0, barbell 
Standing Towel Triceps Extension, triceps, beginner,6.5, body-only 
Supine Chest Throw, triceps, beginner,8.2, medicine-ball 
Suspended Triceps Press, triceps, intermediate,0, other 
Tate Press, triceps, intermediate,8.1, dumbbell 
Tricep Dumbbell Kickback, triceps, beginner,9.0, dumbbell 
Tricep Side Stretch, triceps, beginner,5.5, none 
Triceps Overhead Extension with Rope, triceps, beginner,8.9, cable 
Triceps Plank Extension, triceps, beginner,0, dumbbell 
Triceps Pushdown, triceps, beginner,8.6, cable 
Triceps Pushdown Rope Attachment, triceps, beginner,9.0, cable 
Triceps Pushdown V Bar Attachment, triceps, beginner,9.0, cable 
Triceps Stretch, triceps, beginner,4.8, none 
Weighted Bench Dip, triceps, intermediate,9.1, other 
